estimator,regime_n,regime_cov,seed,coverage,ci_width
calibrated-dr-cpo,250,0.5,34,75.0,0.28541824153350304
calibrated-dr-cpo,250,0.5,35,75.0,0.16051896859092193
calibrated-dr-cpo,250,0.5,36,75.0,0.2347402011398546
calibrated-dr-cpo,250,0.5,37,75.0,0.21627856853752353
calibrated-dr-cpo,250,0.5,38,75.0,0.1465871937869187
calibrated-dr-cpo,250,0.5,39,75.0,0.17153191904336285
calibrated-dr-cpo,250,0.5,40,75.0,0.18578501915063916
calibrated-dr-cpo,250,0.5,41,75.0,0.20150657856978788
calibrated-dr-cpo,250,0.5,42,100.0,0.21815751513913198
calibrated-dr-cpo,250,0.5,43,75.0,0.16636995958497106
calibrated-dr-cpo,250,0.5,44,100.0,0.20891610652394957
calibrated-dr-cpo,250,0.5,45,75.0,0.1268839840173608
calibrated-dr-cpo,250,0.5,46,100.0,0.18595560309373949
calibrated-dr-cpo,250,0.5,47,75.0,0.23645744724993323
calibrated-dr-cpo,250,0.5,48,100.0,0.23731299326944244
calibrated-dr-cpo,250,0.5,49,100.0,0.31403238247772386
calibrated-dr-cpo,250,1.0,0,75.0,0.14038482654525436
calibrated-dr-cpo,250,1.0,1,75.0,0.1181992895961576
calibrated-dr-cpo,250,1.0,2,75.0,0.11727671484416163
calibrated-dr-cpo,250,1.0,3,75.0,0.1301201286024755
calibrated-dr-cpo,250,1.0,4,75.0,0.10585005398964142
calibrated-dr-cpo,250,1.0,5,75.0,0.13315954277423006
calibrated-dr-cpo,250,1.0,6,75.0,0.17185108828202617
calibrated-dr-cpo,250,1.0,7,75.0,0.09488867333880174
calibrated-dr-cpo,250,1.0,8,75.0,0.10663278386895125
calibrated-dr-cpo,250,1.0,9,75.0,0.10771182834190611
calibrated-dr-cpo,250,1.0,10,75.0,0.11864327284691528
calibrated-dr-cpo,250,1.0,11,100.0,0.13890325924933172
calibrated-dr-cpo,250,1.0,12,75.0,0.09442241621462724
calibrated-dr-cpo,250,1.0,13,75.0,0.09810183428982416
calibrated-dr-cpo,250,1.0,14,50.0,0.11811223328685827
calibrated-dr-cpo,250,1.0,15,75.0,0.12033786658507223
calibrated-dr-cpo,250,1.0,16,75.0,0.09308569789842489
calibrated-dr-cpo,250,1.0,17,75.0,0.055770029519642744
calibrated-dr-cpo,250,1.0,18,75.0,0.12073865829599179
calibrated-dr-cpo,250,1.0,19,75.0,0.07851072575945928
calibrated-dr-cpo,250,1.0,20,75.0,0.11217739097724672
calibrated-dr-cpo,250,1.0,21,75.0,0.21350651633372775
calibrated-dr-cpo,250,1.0,22,75.0,0.0908167895515582
calibrated-dr-cpo,250,1.0,23,75.0,0.11073913702620612
calibrated-dr-cpo,250,1.0,24,75.0,0.1172314808040886
calibrated-dr-cpo,250,1.0,25,75.0,0.07947956871520112
calibrated-dr-cpo,250,1.0,26,100.0,0.16816825845871197
calibrated-dr-cpo,250,1.0,27,75.0,0.18679776731431208
calibrated-dr-cpo,250,1.0,28,75.0,0.13907633787174567
calibrated-dr-cpo,250,1.0,29,75.0,0.08574104371469138
calibrated-dr-cpo,250,1.0,30,75.0,0.10787513676595156
calibrated-dr-cpo,250,1.0,31,75.0,0.09661724988092113
calibrated-dr-cpo,250,1.0,32,75.0,0.09067542576182541
calibrated-dr-cpo,250,1.0,33,75.0,0.11275160082709879
calibrated-dr-cpo,250,1.0,34,75.0,0.1717563448438778
calibrated-dr-cpo,250,1.0,35,75.0,0.0746305203353079
calibrated-dr-cpo,250,1.0,36,75.0,0.18109187391124734
calibrated-dr-cpo,250,1.0,37,75.0,0.15010239576599893
calibrated-dr-cpo,250,1.0,38,75.0,0.10097409858633044
calibrated-dr-cpo,250,1.0,39,75.0,0.12382728709660576
calibrated-dr-cpo,250,1.0,40,75.0,0.14257443075992926
calibrated-dr-cpo,250,1.0,41,75.0,0.11224927519912468
calibrated-dr-cpo,250,1.0,42,100.0,0.15294530662017056
calibrated-dr-cpo,250,1.0,43,75.0,0.10539917665933227
calibrated-dr-cpo,250,1.0,44,75.0,0.210240508396064
calibrated-dr-cpo,250,1.0,45,75.0,0.10620352000205487
calibrated-dr-cpo,250,1.0,46,75.0,0.10322420898683372
calibrated-dr-cpo,250,1.0,47,75.0,0.11861137575045708
calibrated-dr-cpo,250,1.0,48,75.0,0.14225005119260822
calibrated-dr-cpo,250,1.0,49,75.0,0.18697046990973581
calibrated-dr-cpo,500,0.05,0,75.0,0.08971860447192848
